Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,"Enable Gas Transmission, LLC",M1 Back,Oklahoma,Texas,512,112,112,112,112,112,112,112,112,112,112,112
,"Enable Gas Transmission, LLC",Enable Gas System,Max Capacity,0,"2,087","2,087","2,087","2,087","2,087","2,087","2,087","2,087","2,087","1,813","1,813","1,654"
,,,,,,,,,,,,,,,,
,"Enable Mississippi River Transmission, LLC",M1,Texas,Louisiana,85,85,85,85,85,85,85,85,85,85,85,85
,"Enable Mississippi River Transmission, LLC",M2,Louisiana,Arkansas,730,730,730,730,730,730,730,730,730,730,730,730
,"Enable Mississippi River Transmission, LLC",M3,Arkansas,Missouri,730,730,730,730,730,730,730,730,730,730,730,730
,"Enable Mississippi River Transmission, LLC",M4,Missouri,Illinois,715,715,715,715,715,715,715,715,715,715,715,715
,"Enable Mississippi River Transmission, LLC",M4 Back,Illinois,Missouri,870,870,870,870,870,870,870,870,870,870,870,870
,"Enable Mississippi River Transmission, LLC",M2 Back,Arkansas,Louisiana,550,550,550,550,550,550,550,550,550,550,550,550
,"Enable Mississippi River Transmission, LLC",MRT System,Max Capacity,,870,870,870,870,870,870,870,870,870,870,870,870
,,,,,,,,,,,,,,,,
,Equitrans Inc,M1,West Virginia,Ohio,850,850,850,0,0,0,0,0,0,0,0,0
,Equitrans Inc,M2,West Virginia,Pennsylvania,934,934,934,934,934,934,934,410,410,333,333,333
,Equitrans Inc,M2 Back,Pennsylvania,West Virginia,70,70,70,70,70,70,70,70,70,70,70,70
,Equitrans Inc,EQT System,Max Capacity,,934,934,934,934,934,934,934,410,410,333,333,333
,,,,,,,,,,,,,,,,
,Florida Gas Trans Co,M1,Texas,Louisiana,320,320,320,320,320,320,320,320,320,320,320,320
,Florida Gas Trans Co,M2,Louisiana,Mississippi,"1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300"
