year,Pipeline,Region From,Region To,State From,County From,State To,County To,Capacity (mmcfd),Notes
2018.0,"Enable Gas Transmission, LLC",South Central,Intra-regional,Texas,Wheeler,Oklahoma,Beckham,100.0,
2018.0,"Enable Mississippi River Transmission, LLC",South Central,Intra-regional,Arkansas,Ashley,Louisiana,Morehouse,550.0,
2018.0,"Enable Mississippi River Transmission, LLC",South Central,Midwest,Arkansas,Clay,Missouri,Ripley,730.0,
2018.0,"Enable Mississippi River Transmission, LLC",Midwest,Intra-regional,Illinois,St. Clair,Missouri,St Louis,870.0,
2018.0,"Enable Mississippi River Transmission, LLC",South Central,Intra-regional,Louisiana,Morehouse,Arkansas,Ashley,730.0,
2018.0,"Enable Mississippi River Transmission, LLC",Midwest,Intra-regional,Missouri,St Louis,Illinois,St Clair,715.0,
2018.0,"Enable Mississippi River Transmission, LLC",South Central,Intra-regional,Texas,Harrison,Louisiana,Caddo,85.0,
2018.0,EnCana Pipeline Ltd,Canada,Mountain,Alberta,Alberta,Montana,Toole,100.0,
2018.0,EnCana Pipeline Ltd,Mountain,Canada,Montana,Toole,Saskatchewan,Saskatchewan,6.0,
2018.0,EnCana Pipeline Ltd,Canada,Mountain,Saskatchewan,Saskatchewan,Montana,Phillips,10.0,
2018.0,Encinal Gathering Ltd.,Mexico,South Central,Mexico,Tamaulipas,Texas,Webb,60.0,
2018.0,Encinal Gathering Ltd.,South Central,Mexico,Texas,Webb,Mexico,Tamaulipas,60.0,
2018.0,Equitrans Inc,Northeast,Intra-regional,Pennsylvania,Greene,West Virginia,Monongalia,70.0,
2018.0,Equitrans Inc,Northeast,Intra-regional,West Virginia,Wetzel,Ohio,Monroe,850.0,Equitrans Ohio Valley Connector FERC Docket CP15-41
2018.0,Equitrans Inc,Northeast,Intra-regional,West Virginia,Monongalia,Pennsylvania,Greene,334.0,
2018.0,Equitrans Inc,Northeast,Intra-regional,West Virginia,Wetzel,Pennsylvania,Greene,600.0,
2018.0,"ETC Tiger Pipeline, LLC",South Central,Intra-regional,Texas,Panola,Louisiana,Caddo,1000.0,
2018.0,Fayetteville Express Pipeline,South Central,Intra-regional,Arkansas,Phillips,Mississippi,Coahoma,2000.0,
2018.0,Ferndale P L Co,Canada,Pacific,British Columbia,British Columbia,Washington,Whatcom,105.0,
2018.0,Florida Gas Trans Co,South Central,Southeast,Alabama,Escambia,Florida,Santa Rosa,3235.0,South Alabama Project FERC docket CP18-530
2018.0,Florida Gas Trans Co,Gulf of Mexico,South Central,Gulf of Mexico,Gulf Of Mexico,Texas,Matagorda,0.0,"MOPS has shared assets by Northern Natural, SoNat, FGT, and others"
2018.0,Florida Gas Trans Co,South Central,Intra-regional,Louisiana,Washington,Mississippi,Pearl River,1300.0,
